bins,variable,num_0,num_1,num_01,pct_0_row,pct_1_row,pct_0_col,pct_1_col,pct_bin,odds,woe,miv,IV,is_monotonic,type
"(-inf, 7.0]",duration.in.month,78,9,87,0.896551724137931,0.10344827586206896,0.11190817790530846,0.03,0.08726178535606821,0.11538461538461538,-1.3164902491065607,0.10783131753442403,0.3498,0,numeric
"(7.0, 9.0]",duration.in.month,41,15,56,0.7321428571428571,0.26785714285714285,0.058823529411764705,0.05,0.05616850551654965,0.36585365853658536,-0.16253592935327657,0.0014341405531171456,0.3498,0,numeric
"(9.0, 11.0]",duration.in.month,34,3,37,0.918918918918919,0.08108108108108109,0.04878048780487805,0.01,0.037111334002006016,0.08823529411764706,-1.5847657996336069,0.0614579907662789,0.3498,0,numeric
"(11.0, 15.0]",duration.in.month,189,62,251,0.7529880478087649,0.24701195219123506,0.27116212338593976,0.20666666666666667,0.25175526579739216,0.328042328042328,-0.2716133817341157,0.01751782910600806,0.3498,0,numeric
"(15.0, 18.0]",duration.in.month,72,43,115,0.6260869565217392,0.3739130434782609,0.10329985652797705,0.14333333333333334,0.11534603811434303,0.5972222222222222,0.32752725227313073,0.013112054656998459,0.3498,0,numeric
"(18.0, 33.0]",duration.in.month,198,86,284,0.6971830985915493,0.3028169014084507,0.28407460545193686,0.2866666666666667,0.2848545636910732,0.43434343434343436,0.009079681467471281,2.353509017393348e-05,0.3498,0,numeric
"(33.0, 39.0]",duration.in.month,50,38,88,0.5681818181818182,0.4318181818181818,0.07173601147776183,0.12666666666666668,0.08826479438314945,0.7599999999999999,0.5685521504997235,0.031230942136010645,0.3498,0,numeric
"(39.0, 42.0]",duration.in.month,8,4,12,0.6666666666666666,0.3333333333333333,0.011477761836441894,0.013333333333333334,0.012036108324974924,0.5,0.14976863433953988,0.0002779064090088067,0.3498,0,numeric
"(42.0, inf]",duration.in.month,27,40,67,0.40298507462686567,0.5970149253731343,0.03873744619799139,0.13333333333333333,0.06720160481444333,1.4814814814814814,1.236019709732312,0.1169223809588959,0.3498,0,numeric
"(-inf, 959.0]",credit.amount,73,36,109,0.6697247706422018,0.3302752293577982,0.10473457675753228,0.12,0.10932798395185557,0.4931506849315069,0.13605288551241757,0.0020769048807060576,0.2912,0,numeric
"(959.0, 1168.0]",credit.amount,36,9,45,0.8,0.2,0.05164992826398852,0.03,0.04513540621865597,0.25,-0.5433107859392552,0.0117626395406361,0.2912,0,numeric
"(1168.0, 1386.0]",credit.amount,71,37,108,0.6574074074074074,0.3425925925925926,0.10186513629842181,0.12333333333333334,0.10832497492477432,0.5211267605633803,0.19123115485400893,0.0041053881116195415,0.2912,0,numeric
"(1386.0, 1620.0]",credit.amount,76,14,90,0.8444444444444444,0.15555555555555556,0.10903873744619799,0.04666666666666667,0.09027081243731194,0.18421052631578946,-0.8486822455773273,0.052934069090480644,0.2912,0,numeric
"(1620.0, 2327.0]",credit.amount,109,44,153,0.7124183006535948,0.2875816993464052,0.1563845050215208,0.14666666666666667,0.1534603811434303,0.40366972477064217,-0.0641617066815278,0.000623513094102651,0.2912,0,numeric
"(2327.0, 3565.0]",credit.amount,143,46,189,0.7566137566137566,0.24338624338624337,0.20516499282639886,0.15333333333333332,0.18956870611835505,0.32167832167832167,-0.2912051717804851,0.015093647306345761,0.2912,0,numeric
"(3565.0, 3905.0]",credit.amount,42,3,45,0.9333333333333333,0.06666666666666667,0.06025824964131994,0.01,0.04513540621865597,0.07142857142857142,-1.7960709886113315,0.0902673841191606,0.2912,0,numeric
"(3905.0, 4297.0]",credit.amount,18,18,36,0.5,0.5,0.02582496413199426,0.06,0.03610832497492478,1.0,0.8429642146317864,0.028808332270486587,0.2912,0,numeric
"(4297.0, 6314.0]",credit.amount,60,30,90,0.6666666666666666,0.3333333333333333,0.08608321377331421,0.1,0.09027081243731194,0.5,0.1498441389451838,0.0020853488490219264,0.2912,0,numeric
"(6314.0, inf]",credit.amount,69,63,132,0.5227272727272727,0.4772727272727273,0.09899569583931134,0.21,0.13239719157472418,0.9130434782608696,0.75202105650034,0.08347757409100617,0.2912,0,numeric
"(-inf, 1.0]",installment.rate.in.percentage.of.disposable.income,102,34,136,0.75,0.25,0.14634146341463414,0.11333333333333333,0.13640922768304914,0.3333333333333333,-0.25561618587377305,0.008437412314207467,0.0262,1,numeric
"(1.0, 2.0]",installment.rate.in.percentage.of.disposable.income,168,62,230,0.7304347826086957,0.26956521739130435,0.24103299856527977,0.20666666666666667,0.23069207622868607,0.36904761904761907,-0.15383080705476207,0.005286600571475467,0.0262,1,numeric
"(2.0, 3.0]",installment.rate.in.percentage.of.disposable.income,111,45,156,0.7115384615384616,0.28846153846153844,0.15925394548063126,0.15,0.15646940822467403,0.4054054054054054,-0.05987105469725618,0.0005540434760363015,0.0262,1,numeric
"(3.0, inf]",installment.rate.in.percentage.of.disposable.income,316,159,475,0.6652631578947369,0.33473684210526317,0.4533715925394548,0.53,0.4764292878635908,0.5031645569620253,0.1561627190438723,0.011966500465040492,0.0262,1,numeric
"(-inf, 1.0]",present.residence.since,94,36,130,0.7230769230769231,0.27692307692307694,0.13486370157819225,0.12,0.13039117352056168,0.3829787234042554,-0.11678032257569793,0.0017357878649702015,0.0035,0,numeric
"(1.0, 2.0]",present.residence.since,211,97,308,0.685064935064935,0.31493506493506496,0.30272596843615496,0.3233333333333333,0.30892678034102306,0.45971563981042657,0.06585247781955948,0.0013570460398110058,0.0035,0,numeric
"(2.0, 3.0]",present.residence.since,105,43,148,0.7094594594594594,0.2905405405405405,0.15064562410329985,0.14333333333333334,0.14844533600802406,0.4095238095238095,-0.04976393643284404,0.0003638883730550854,0.0035,0,numeric
"(3.0, inf]",present.residence.since,287,124,411,0.6982968369829684,0.30170316301703165,0.4117647058823529,0.41333333333333333,0.41223671013039115,0.43205574912891986,0.003799857381259174,5.9605605980536694e-06,0.0035,0,numeric
"(-inf, 25.0]",age.in.years,109,80,189,0.5767195767195767,0.42328042328042326,0.1563845050215208,0.26666666666666666,0.18956870611835505,0.7339449541284403,0.5336752940740926,0.058854865047099844,0.1853,0,numeric
"(25.0, 34.0]",age.in.years,244,112,356,0.6853932584269663,0.3146067415730337,0.3500717360114778,0.37333333333333335,0.35707121364092276,0.4590163934426229,0.06433072555291854,0.0014964354332347952,0.1853,0,numeric
"(34.0, 38.0]",age.in.years,108,24,132,0.8181818181818182,0.18181818181818182,0.15494978479196556,0.08,0.13239719157472418,0.2222222222222222,-0.6610809143548299,0.04954787226097031,0.1853,0,numeric
"(38.0, 48.0]",age.in.years,132,49,181,0.7292817679558011,0.27071823204419887,0.18938307030129126,0.16333333333333333,0.1815446339017051,0.37121212121212116,-0.147983968660511,0.0038549434590808406,0.1853,0,numeric
"(48.0, 52.0]",age.in.years,37,6,43,0.8604651162790697,0.13953488372093023,0.05308464849354376,0.02,0.04312938816449348,0.16216216216216217,-0.9761743449722547,0.03229638507182237,0.1853,0,numeric
"(52.0, 61.0]",age.in.years,36,22,58,0.6206896551724138,0.3793103448275862,0.05164992826398852,0.07333333333333333,0.058174523570712136,0.611111111111111,0.3505070900828415,0.007600187213943583,0.1853,0,numeric
"(61.0, 64.0]",age.in.years,14,1,15,0.9333333333333333,0.06666666666666667,0.020086083213773313,0.0033333333333333335,0.015045135406218655,0.07142857142857142,-1.796104177985954,0.030089684053011937,0.1853,0,numeric
"(64.0, 67.0]",age.in.years,10,3,13,0.7692307692307693,0.23076923076923078,0.014347202295552367,0.01,0.013039117352056168,0.3,-0.36103956579268087,0.001569512029199172,0.1853,0,numeric
"(67.0, inf]",age.in.years,7,3,10,0.7,0.3,0.010043041606886656,0.01,0.010030090270812437,0.4285714285714286,-0.004394490754546375,1.891459435242299e-07,0.1853,0,numeric
"(-inf, 1.0]",number.of.existing.credits.at.this.bank,431,200,631,0.6830427892234548,0.31695721077654515,0.6183644189383071,0.6666666666666666,0.6328986960882648,0.46403712296983757,0.07521059538054561,0.0036328408098685295,0.0134,0,numeric
