,score_range,expecteds,expected(%),actucals,actucal(%),ac - ex(%),ln(ac/ex),psi
0,"[276.0,1842.9]",196.0,39.2,186.0,37.3494,-1.8506,-0.04835988696377611,0.0008949506613009407
1,"(1842.9,3409.8]",146.0,29.2,145.0,29.1165,-0.0835,-0.002863684494998034,2.3931343018731087e-06
2,"(3409.8,4976.7]",65.0,13.0,72.0,14.4578,1.4578,0.1062846262863958,0.0015494832930931053
3,"(4976.7,6543.6]",33.0,6.6000000000000005,32.0,6.4257,-0.1743,-0.026764033670208034,4.66482673688327e-05
4,"(6543.6,8110.5]",25.0,5.0,31.0,6.2249,1.2249,0.2191190719828302,0.002683992663028821
5,"(8110.5,9677.4]",13.0,2.6,12.0,2.4096,-0.1904,-0.07605038249265915,0.00014474072809165785
6,"(9677.4,11244.3]",7.0,1.4000000000000001,7.0,1.4056,0.0056,0.0039919928121419125,2.253506006648305e-07
7,"(11244.3,12811.2]",8.0,1.6,6.0,1.2048,-0.3952,-0.28368800106435604,0.0011210251656119448
8,"(12811.2,14378.1]",3.0,0.6,2.0,0.4016,-0.1984,-0.4014648532780094,0.0007964650635945748
9,"(14378.1,15945.0]",4.0,0.8,3.0,0.6024,-0.1976,-0.28368595097629773,0.0005605125828059724
10,summary,500.0,100.0,496.0,100.0,,,0.007800436909798388
