,score_range,expecteds,expected(%),actucals,actucal(%),ac - ex(%),ln(ac/ex),psi
0,"[276.0,1842.9]",196.0,39.2,186.0,37.2,-2.0,-0.0523679718021561,0.0010473597103463196
1,"(1842.9,3409.8]",145.0,28.999999999999996,146.0,29.2,0.2,0.006872876925930176,1.374575857552414e-05
2,"(3409.8,4976.7]",66.0,13.200000000000001,72.0,14.4,1.2,0.08701131385836232,0.0010441365238755547
3,"(4976.7,6543.6]",33.0,6.6000000000000005,32.0,6.4,-0.2,-0.030771611318341694,6.154331733350743e-05
4,"(6543.6,8110.5]",25.0,5.0,31.0,6.2,1.2,0.21511099252087068,0.0025813365554033445
5,"(8110.5,9677.4]",13.0,2.6,12.0,2.4,-0.2,-0.0800423871620001,0.00016008541534707257
6,"(9677.4,11244.3]",7.0,1.4000000000000001,7.0,1.4,0.0,-1.1102230246251565e-16,0.0
7,"(11244.3,12811.2]",8.0,1.6,6.0,1.2,-0.4,-0.28767998913363846,0.0011507282898071233
8,"(12811.2,14378.1]",3.0,0.6,2.0,0.4,-0.2,-0.40545677494843835,0.0008109302162163288
9,"(14378.1,15945.0]",4.0,0.8,4.0,0.8,0.0,0.0,0.0
10,summary,500.0,100.0,498.0,100.0,,,0.006869865786904775
